FUNCTION,NONE,PARTIAL1,PARTIAL2,FULL
TIM1_ETR,PA12,PA12,,
TIM1_CH1,PA8,PA8,,
TIM1_CH2,PA9,PA9,,
TIM1_CH3,PA10,PA10,,
TIM1_CH4,PA11,PA11,,
TIM1_BKIN,PB12,PA6,,
TIM1_CH1N,PB13,PA7,,
TIM1_CH2N,PB14,PB0,,
TIM1_CH3N,PB15,PB1,,
,,,,
TIM2_ETR,PA0,PA15,PA0,PA15
TIM2_CH1,PA0,PA15,PA0,PA15
TIM2_CH2,PA1,PB3,PA1,PB3
TIM2_CH3,PA2,PA2,PB10,PB10
TIM2_CH4,PA3,PA3,PB11,PB11
,,,,
TIM3_ETR,PD2,,,
TIM3_CH1,PA6,,PB4,PC6
TIM3_CH2,PA7,,PB5,PC7
TIM3_CH3,PB0,,PB0,PC8
TIM3_CH4,PB1,,PB1,PC9
,,,,
TIM14_CH1,PA7,,PB1,PA4
,,,,
TIM15_CH1,PA2,PB14,,
TIM15_CH2,PA3,PB15,,
TIM15_CH1N,PB15,,,
TIM15_BKIN,PB9,,,
,,,,
TIM16_CH1,PA6,PB8,,
TIM16_BKIN,PB5,,,
TIM16_CH1N,PB6,,,
,,,,
TIM17_CH1,PA7,PB9,,
TIM17_BKIN,PA10,,,
TIM17_CH1N,PB7,,,
